City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
223,Shenjiamen,CN,29.9576,122.298,60.22,90,65,8.41,broken clouds
224,Pocone,BR,-16.2567,-56.6228,91.89,23,5,2.57,clear sky
225,Sao Paulo De Olivenca,BR,-3.3783,-68.8725,82.0,80,93,2.08,overcast clouds
226,Iqaluit,CA,63.7506,-68.5145,29.7,68,60,3.0,broken clouds
227,Kolyvan,RU,55.3053,82.7391,37.02,79,9,1.39,clear sky
228,Camana,PE,-16.6228,-72.7111,70.36,73,77,10.09,broken clouds
229,Tshikapa,CD,-6.4167,20.8,75.96,76,100,2.55,overcast clouds
230,Rio Grande,BR,-32.035,-52.0986,77.11,72,0,9.4,clear sky
231,Ajdabiya,LY,30.7554,20.2263,66.6,60,0,12.46,clear sky
232,Acapulco,MX,16.8634,-99.8901,87.62,62,0,12.66,clear sky
233,Stokmarknes,NO,68.5646,14.9108,37.36,93,100,11.5,light shower snow
234,Traverse City,US,44.7631,-85.6206,70.99,19,100,12.66,overcast clouds
235,Kirakira,SB,-10.4544,161.9205,80.35,84,100,11.1,overcast clouds
236,Emerald,AU,-23.5333,148.1667,65.34,64,100,12.17,moderate rain
237,Auki,SB,-8.7676,160.7034,77.76,89,100,4.68,overcast clouds
238,Slave Lake,CA,55.2834,-114.769,35.58,87,100,19.57,overcast clouds
239,Itarema,BR,-2.9248,-39.9167,79.88,86,100,11.77,moderate rain
240,Basse,DE,52.5518,9.5069,62.64,42,20,6.91,few clouds
241,Tsumeb,NA,-19.2333,17.7167,66.92,28,0,5.06,clear sky
242,Baker City,US,44.7749,-117.8344,44.6,49,75,4.74,broken clouds
243,Zeya,RU,53.75,127.2667,42.78,40,97,5.41,overcast clouds
244,San Cristobal,VE,7.7669,-72.225,82.58,57,78,6.89,broken clouds
245,Usinsk,RU,65.9939,57.5281,41.94,88,100,15.82,overcast clouds
246,Srednekolymsk,RU,67.45,153.6833,25.32,88,49,6.2,scattered clouds
247,Hegang,CN,47.4,130.3667,42.28,53,0,5.32,clear sky
248,Pitsunda,GE,43.1592,40.3378,53.78,89,91,8.25,overcast clouds
249,Souillac,MU,-20.5167,57.5167,75.58,83,40,4.61,scattered clouds
250,Inhambane,MZ,-23.865,35.3833,73.38,88,20,21.85,few clouds
251,Hithadhoo,MV,-0.6,73.0833,84.2,77,100,20.47,light rain
252,Port Hardy,CA,50.6996,-127.4199,46.4,73,52,12.57,light rain
253,Nizwa,OM,22.9333,57.5333,88.11,22,0,2.71,clear sky
254,Progreso,MX,21.2833,-89.6667,102.31,54,0,14.65,clear sky
255,Daly City,US,37.7058,-122.4619,58.59,73,75,21.85,broken clouds
256,Cacapava Do Sul,BR,-30.5122,-53.4914,65.39,65,0,4.34,clear sky
257,Norrtalje,SE,59.758,18.705,44.78,53,16,5.06,few clouds
258,Sarai,RU,53.7458,41.0213,52.77,62,96,10.07,overcast clouds
259,Alugan,PH,12.2188,125.4808,80.33,76,20,8.34,few clouds
260,Prado,BR,-17.3411,-39.2208,75.09,86,100,8.72,overcast clouds
261,Da Nang,VN,16.0678,108.2208,78.78,89,40,1.14,scattered clouds
262,Filingue,NE,14.3521,3.3168,97.72,17,53,6.02,broken clouds
263,Taksimo,RU,56.3444,114.8794,38.77,65,100,4.41,overcast clouds
264,Smidovich,RU,48.6,133.8167,42.64,55,2,8.95,clear sky
265,Tuatapere,NZ,-46.1333,167.6833,50.7,93,100,3.38,overcast clouds
266,Longyearbyen,SJ,78.2186,15.6401,17.44,62,40,18.41,scattered clouds
267,Luderitz,NA,-26.6481,15.1594,60.12,56,55,13.6,broken clouds
268,Katsuura,JP,35.1333,140.3,60.4,68,100,11.25,overcast clouds
269,Napier,NZ,-39.4833,176.9167,52.88,76,100,5.17,overcast clouds
270,Balkanabat,TM,39.5108,54.3671,64.04,70,100,14.7,overcast clouds
271,Vila Franca Do Campo,PT,37.7167,-25.4333,66.61,75,91,1.9,overcast clouds
272,Zhigansk,RU,66.7697,123.3711,21.2,94,100,26.82,snow
273,Rensvik,NO,63.1,7.8167,49.66,61,0,0.0,clear sky
274,Ugoofaaru,MV,5.6667,73.0,84.49,78,100,17.58,light rain
275,Bahia Honda,CU,22.9036,-83.1592,84.83,63,44,5.3,scattered clouds
276,Ziro,IN,27.6333,93.8333,53.22,92,40,1.88,scattered clouds
277,Ormara,PK,25.2088,64.6357,81.36,83,0,14.45,clear sky
278,Clovis,US,36.8252,-119.7029,66.04,37,20,14.97,few clouds
279,Sao Filipe,CV,14.8961,-24.4956,72.39,80,14,7.58,few clouds
280,Upernavik,GL,72.7868,-56.1549,21.31,72,87,6.85,overcast clouds
281,Batagay,RU,67.6333,134.6333,28.87,94,100,5.32,light snow
282,Muros,ES,42.7762,-9.0603,71.83,54,100,3.15,overcast clouds
283,Ashqelon,IL,31.6693,34.5715,67.89,62,2,9.84,clear sky
284,Bouca,CF,6.5105,18.2733,72.95,92,100,5.44,moderate rain
285,Kavieng,PG,-2.5744,150.7967,83.16,72,100,17.74,overcast clouds
286,Taitung,TW,22.7583,121.1444,76.59,84,100,2.37,overcast clouds
287,Ahipara,NZ,-35.1667,173.1667,59.67,87,100,6.76,overcast clouds
288,Bowling Green,US,36.9903,-86.4436,71.15,58,40,4.61,scattered clouds
289,Lazurne,UA,46.084,32.5295,53.73,59,6,6.42,clear sky
290,Semey,KZ,50.4111,80.2275,44.26,34,2,6.76,clear sky
291,College,US,64.8569,-147.8028,43.2,70,75,11.5,broken clouds
292,Praia,CV,14.9215,-23.5087,75.74,64,20,19.57,few clouds
293,Joaima,BR,-16.6542,-41.0306,79.7,53,100,5.28,overcast clouds
294,Krasnoselkup,RU,65.7,82.4667,28.06,88,100,8.05,overcast clouds
295,Morondava,MG,-20.2833,44.2833,77.11,77,0,11.27,clear sky
296,Santa Maria,BR,-29.6842,-53.8069,71.78,62,0,3.94,clear sky
297,Ninghai,CN,29.2892,121.4247,61.99,96,100,1.03,overcast clouds
298,Vanimo,PG,-2.6741,141.3028,78.55,91,100,6.53,overcast clouds
299,Marawi,PH,7.9986,124.2928,69.93,95,100,1.43,light rain
300,Alihe,CN,50.5667,123.7167,44.82,42,51,2.86,broken clouds
301,Talnakh,RU,69.4865,88.3972,2.62,96,77,6.46,broken clouds
302,Ostrovnoy,RU,68.0531,39.5131,28.53,79,24,5.55,few clouds
303,Pechenga,RU,69.5259,31.1703,27.84,79,84,6.08,broken clouds
304,Cap-Aux-Meules,CA,47.3821,-61.8597,42.85,70,0,10.36,clear sky
305,Bilma,NE,18.6853,12.9164,97.02,10,100,6.96,overcast clouds
306,Zatoka,UA,46.0725,30.4654,52.99,65,0,4.38,clear sky
307,Urumqi,CN,43.801,87.6005,59.95,39,0,6.71,clear sky
308,Narsaq,GL,60.9167,-46.05,40.96,74,99,3.89,overcast clouds
309,Xiamen,CN,24.4798,118.0819,72.25,94,75,2.24,mist
310,Tautira,PF,-17.7333,-149.15,80.92,79,41,11.65,light rain
311,Mirnyy,RU,62.5353,113.9611,30.79,90,100,11.18,overcast clouds
312,Puerto Carreno,CO,6.189,-67.4859,85.98,70,40,5.75,scattered clouds
313,Verkhnevilyuysk,RU,63.4453,120.3167,30.85,88,94,9.08,overcast clouds
314,Torbay,CA,47.6666,-52.7314,46.89,65,20,13.8,few clouds
315,Ilulissat,GL,69.2167,-51.1,30.22,69,0,4.61,clear sky
316,Awjilah,LY,29.1081,21.2869,76.19,29,0,16.53,clear sky
317,Flagstaff,US,35.1981,-111.6513,67.66,21,0,28.77,clear sky
318,Sedkyrkeshch,RU,61.75,50.9167,55.67,41,20,8.95,few clouds
319,Kemin,KG,42.7846,75.6892,62.31,58,0,6.2,clear sky
320,Nioro,GM,13.35,-15.75,92.71,27,0,15.19,clear sky
321,Leiyang,CN,26.4024,112.8591,70.57,96,99,0.87,overcast clouds
322,Nishihara,JP,26.1842,127.7558,75.25,97,100,8.05,overcast clouds
323,Otukpo,NG,7.1913,8.1329,85.15,60,87,8.59,overcast clouds
324,Mount Gambier,AU,-37.8333,140.7667,39.11,100,40,5.75,scattered clouds
325,Ixtapa,MX,20.7,-105.2,79.83,69,0,10.36,clear sky
